files,mb,url,age,title,magnet,varified,seed,torrent,leech,size
2,MB,/the-flash-2014-s02e16-hdtv-x264-lol-ettv-t12299807.html,"23 Mar 2016, 01:00",The Flash 2014 S02E16 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:7C15AC53FEDBAAC2F10A08503263BD30B30D6785&dn=the+flash+2014+s02e16+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,862,/torrents.php?key=greys.anatomy.s12e23.hdtv.x264.lol.ettv,24,304.02 
2,MB,/mr-robot-s02e01-hdtv-x264-killers-ettv-t12937976.html,"14 Jul 2016, 03:02",Mr Robot S02E01 HDTV x264-KILLERS[ettv],magnet:?xt=urn:btih:E41C77142A4CB7699C3B18CB4F722257FF3B8445&dn=mr+robot+s02e01+hdtv+x264+killers+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,2278,/torrents.php?key=mr.robot.s02e01.hdtv.x264.killers.ettv,386,168.51 
2,MB,/outcast-s01e06-hdtv-x264-killers-ettv-t12953300.html,"16 Jul 2016, 16:40",Outcast S01E06 HDTV x264-KILLERS[ettv],magnet:?xt=urn:btih:88C1E34595B020D5BA24782D5F76390A111D2753&dn=outcast+s01e06+hdtv+x264+killers+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,2323,/torrents.php?key=outcast.s01e06.hdtv.x264.killers.ettv,168,310.05 
2,MB,/zoo-s02e05-hdtv-x264-lol-ettv-t12974117.html,"20 Jul 2016, 02:00",Zoo S02E05 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:76FF2CAE0839F4E70361149EFDA095F08DBB6384&dn=zoo+s02e05+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1948,/torrents.php?key=zoo.s02e05.hdtv.x264.lol.ettv,883,254.31 
27,GB,/game-of-thrones-s06-complete-season-6-720p-x264-ac3-5-1-mp4-english-subs-t12887052.html,"05 Jul 2016, 09:25",Game Of Thrones S06 Complete Season 6 720p x264 AC3 5.1 [MP4] + English Subs,magnet:?xt=urn:btih:BD4EBD15B264FDFAF74A047DBA5BEA180EBB8B43&dn=game+of+thrones+s06+complete+season+6+720p+x264+ac3+5+1+mp4+english+subs&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,938,/torrents.php?key=game.of.thrones.s06.complete.season.6.720p.x264.ac3.5.1.mp4.english.subs,1055,5.16 
3,MB,/devious-maids-s04e05-hdtv-x264-fleet-rartv-t12885566.html,"05 Jul 2016, 02:01",Devious Maids S04E05 HDTV x264-FLEET[rartv],magnet:?xt=urn:btih:399478864FC064D3612FFB183A318CA20ABBABEC&dn=devious+maids+s04e05+hdtv+x264+fleet+rartv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,1413,/torrents.php?key=devious.maids.s04e05.hdtv.x264.fleet.rartv,99,295.16 
10,GB,/game-of-thrones-season-5-720p-web-dl-x264-mrlss-t10891215.html,"05 Jul 2015, 06:24",Game of Thrones Season 5 720p Web-Dl x264 MrLss,magnet:?xt=urn:btih:60D53F6C4DA73BAE28317EB48C124A32FC039ACB&dn=game+of+thrones+season+5+720p+web+dl+x264+mrlss&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,988,/torrents.php?key=game.of.thrones.season.5.720p.web.dl.x264.mrlss,407,3.6 
1,MB,/stranger-things-s01e01-french-webrip-xvid-zt-t12952465.html,"16 Jul 2016, 13:10",Stranger Things S01E01 FRENCH WEBRip XviD-ZT,magnet:?xt=urn:btih:F0C23EC8BC3B2654AA7565E0769485E933D51D45&dn=stranger+things+s01e01+french+webrip+xvid+zt&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,977,/torrents.php?key=outcast.s01e02.webrip.xvid.fum.ettv,68,398.33 
2,MB,/containment-s01e10-hdtv-x264-lol-ettv-t12846679.html,"28 Jun 2016, 00:59",Containment S01E10 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:39856FBFDAD03D9792BD230CB24A51230549BB13&dn=containment+s01e10+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,704,/torrents.php?key=containment.s01e10.hdtv.x264.lol.ettv,43,252.7 
2,MB,/lucifer-s01e13-hdtv-x264-lol-ettv-t12495244.html,"26 Apr 2016, 02:01",Lucifer S01E13 HDTV x264-LOL[ettv],magnet:?xt=urn:btih:FD79A600ABD1D0954E69ADEAFA48692E7E9BFDB1&dn=lucifer+s01e13+hdtv+x264+lol+ettv&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,839,/torrents.php?key=greys.anatomy.s12e24.hdtv.x264.killers.rartv,34,205.78 
