files,mb,url,age,title,magnet,varified,seed,torrent,leech,size
9,GB,/cities-skylines-deluxe-edition-v-1-4-0-5-dlc-2015-repack-xatab-t12299882.html,"23 Mar 2016, 01:20",Cities: Skylines - Deluxe Edition [v 1.4.0 + 5 DLC] (2015) Repack - XATAB,magnet:?xt=urn:btih:9329FADC9DFD6458E0EE00155500B2AC5BB538C6&dn=cities+skylines+deluxe+edition+v+1+4+0+5+dlc+2015+repack+xatab&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,544,/torrents.php?key=cities.skylines.deluxe.edition.v.1.4.0.5.dlc.2015.repack.xatab,14,1.4 
1,MB,/undertale-t11285392.html,"19 Sep 2015, 19:56",Undertale,magnet:?xt=urn:btih:F29B47278F7A84BD14124D0AA9504C73AC996811&dn=undertale&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,692,/torrents.php?key=undertale,6,122.52 
1,MB,/stranded-deep-v0-13-h1-t12771058.html,"14 Jun 2016, 15:34",Stranded Deep v0.13.H1,magnet:?xt=urn:btih:8652EE2573DCB8D1B65BE9053EE0E6EE55BFD140&dn=stranded+deep+v0+13+h1&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,209,/torrents.php?key=stranded.deep.v0.13.h1,3,267.97 
1,MB,/rimworld-alpha-14c-drm-free-t12971135.html,"19 Jul 2016, 14:20",RimWorld - Alpha 14c (DRM-Free),magnet:?xt=urn:btih:C85912DAFD8F9A1E12BF09134AB72DF0BD2E9A95&dn=rimworld+alpha+14c+drm+free&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,201,/torrents.php?key=rimworld.alpha.14c.drm.free,17,114.36 
1210,GB,/homefront-the-revolution-full-unlocked-mercs213-t12614383.html,"17 May 2016, 17:35",Homefront.The.Revolution.Full.Unlocked-MERCS213,magnet:?xt=urn:btih:7745DF4F80399B39D2518162A1B8152C2E768E37&dn=homefront+the+revolution+full+unlocked+mercs213&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,120,/torrents.php?key=homefront.the.revolution.full.unlocked.mercs213,177,37.9 
1,MB,/grim-facade-7-monster-in-disguise-ce-2016-t12747359.html,"10 Jun 2016, 09:42",Grim Facade 7 : Monster In Disguise CE (2016),magnet:?xt=urn:btih:8DE3E6221D52970CEF1A849F7DE26EA4510D10D6&dn=grim+facade+7+monster+in+disguise+ce+2016&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,238,/torrents.php?key=grim.facade.7.monster.in.disguise.ce.2016,2,977.76 
2,GB,/firewatch-codex-t12049189.html,"09 Feb 2016, 18:03",Firewatch-CODEX,magnet:?xt=urn:btih:762920C5ABF9B4A95019BDAED165FDCC773407C2&dn=firewatch+codex&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,344,/torrents.php?key=firewatch.codex,12,1.98 
1,MB,/minecraft-1-9-prerelease-server-t5855909.html,"22 Sep 2011, 22:46",Minecraft 1.9 Prerelease + Server,magnet:?xt=urn:btih:b2bbadcfdd87b7ded4b23c1ae11e5b24129f8589&dn=minecraft+1+9+prerelease+server&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,343,/torrents.php?key=minecraft.1.9.prerelease.server,10,42.64 
7,GB,/serious-sam-3-bfe-2011-repack-xatab-t11967543.html,"26 Jan 2016, 08:32",Serious Sam 3: BFE (2011) RePack - Xatab,magnet:?xt=urn:btih:8944431FB0706375297947CEEBC17A44BCA2A0C6&dn=serious+sam+3+bfe+2011+repack+xatab&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,389,/torrents.php?key=serious.sam.3.bfe.2011.repack.xatab,22,5.69 
10,GB,/bus-simulator-16-update-1-2016-repack-by-valdeni-t12195854.html,"05 Mar 2016, 10:44",Bus Simulator 16 [Update 1] (2016) RePack by Valdeni,magnet:?xt=urn:btih:AA0D173D990DF4ECBFD4B5C143C52DABF1894EF2&dn=bus+simulator+16+update+1+2016+repack+by+valdeni&tr=udp%3A%2F%2Ftracker.publicbt.com%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce,,257,/torrents.php?key=bus.simulator.16.update.1.2016.repack.by.valdeni,10,1.11 
